frame_no,nose.x,nose.y,nose.prob,l.eye.x,l.eye.y,l.eye.prob,r.eye.x,r.eye.y,r.eye.prob,l.ear.x,l.ear.y,l.ear.prob,r.ear.x,r.ear.y,r.ear.prob,l.shoulder.x,l.shoulder.y,l.shoulder.prob,r.shoulder.x,r.shoulder.y,r.shoulder.prob,l.elbow.x,l.elbow.y,l.elbow.prob,r.elbow.x,r.elbow.y,r.elbow.prob,l.wrist.x,l.wrist.y,l.wrist.prob,r.wrist.x,r.wrist.y,r.wrist.prob,l.hip.x,l.hip.y,l.hip.prob,r.hip.x,r.hip.y,r.hip.prob,l.knee.x,l.knee.y,l.knee.prob,r.knee.x,r.knee.y,r.knee.prob,l.ankle.x,l.ankle.y,l.ankle.prob,r.ankle.x,r.ankle.y,r.ankle.prob
14,437.4348449707031,279.57066535949707,0.8543568849563599,473.36780548095703,227.57107257843018,0.9271839261054993,364.47364807128906,227.63809204101562,0.8428007364273071,504.7849655151367,234.57870483398438,0.0010000000474974513,272.98099517822266,269.12020683288574,0.7544986605644226,507.43751525878906,432.1768569946289,0.0010000000474974513,138.23002815246582,520.9147453308105,0.0010000000474974513,569.6561813354492,568.6274528503418,0.0010000000474974513,138.23002815246582,520.9147453308105,9.999999747378752e-06,569.6561813354492,568.6274528503418,9.999999747378752e-06,138.23002815246582,520.9147453308105,9.999999747378752e-06,475.0377655029297,758.7004280090332,0.0007264860905706882,138.23002815246582,520.9147453308105,9.999999747378752e-06,475.0377655029297,758.7004280090332,9.999999747378752e-06,138.23002815246582,520.9147453308105,9.999999747378752e-06,475.0377655029297,758.7004280090332,9.999999747378752e-06,138.23002815246582,520.9147453308105,9.999999747378752e-06
15,436.12342834472656,266.1437129974365,0.8771002292633057,468.1840133666992,215.33397674560547,0.9902663826942444,372.8578186035156,219.85994338989258,0.8330448865890503,496.0849380493164,222.44014263153076,0.0010000000474974513,277.7414894104004,260.79726219177246,0.7947613000869751,546.9356536865234,432.7686309814453,0.0010000000474974513,143.4859275817871,503.52521896362305,0.0010000000474974513,649.2593383789062,554.3127822875977,0.0004570393357425928,143.4859275817871,503.52521896362305,9.999999747378752e-06,649.2593383789062,554.3127822875977,9.999999747378752e-06,143.4859275817871,503.52521896362305,9.999999747378752e-06,485.587158203125,775.3704643249512,0.00015141002950258553,143.4859275817871,503.52521896362305,9.999999747378752e-06,485.587158203125,775.3704643249512,9.999999747378752e-06,143.4859275817871,503.52521896362305,9.999999747378752e-06,485.587158203125,775.3704643249512,9.999999747378752e-06,143.4859275817871,503.52521896362305,9.999999747378752e-06
16,433.3956527709961,258.8477897644043,0.8812029361724854,463.85643005371094,210.06530284881592,0.9565873742103577,368.09322357177734,218.93784999847412,0.8306693434715271,501.32678985595703,200.63278198242188,0.0010000000474974513,280.62482833862305,260.12526512145996,0.8466986417770386,568.3782196044922,426.91163063049316,0.0010000000474974513,145.6094264984131,503.6355400085449,0.0010000000474974513,568.3782196044922,426.91163063049316,9.999999747378752e-06,145.6094264984131,503.6355400085449,9.999999747378752e-06,568.3782196044922,426.91163063049316,9.999999747378752e-06,145.6094264984131,503.6355400085449,9.999999747378752e-06,568.3782196044922,426.91163063049316,9.999999747378752e-06,145.6094264984131,503.6355400085449,9.999999747378752e-06,568.3782196044922,426.91163063049316,9.999999747378752e-06,145.6094264984131,503.6355400085449,9.999999747378752e-06,568.3782196044922,426.91163063049316,9.999999747378752e-06,145.6094264984131,503.6355400085449,9.999999747378752e-06
17,433.61873626708984,239.11744594573975,0.8296891450881958,466.63928985595703,200.08941650390625,0.9537206888198853,373.99192810058594,204.3152618408203,0.8353186845779419,497.63954162597656,212.62750625610352,0.0010000000474974513,292.48064041137695,252.90501594543457,0.8066229224205017,570.286865234375,432.302942276001,0.0010000000474974513,154.7456455230713,501.63774490356445,0.0010000000474974513,635.4518508911133,550.1392936706543,0.00030930788489058614,154.7456455230713,501.63774490356445,9.999999747378752e-06,561.8257141113281,423.923864364624,1.5864787201280706e-05,154.7456455230713,501.63774490356445,9.999999747378752e-06,570.286865234375,432.302942276001,9.999999747378752e-06,154.7456455230713,501.63774490356445,9.999999747378752e-06,570.286865234375,432.302942276001,9.999999747378752e-06,154.7456455230713,501.63774490356445,9.999999747378752e-06,570.286865234375,432.302942276001,9.999999747378752e-06,154.7456455230713,501.63774490356445,9.999999747378752e-06
18,441.7060089111328,222.16814517974854,0.894946277141571,469.61009979248047,187.86386489868164,0.9080435037612915,387.07508087158203,188.10855388641357,0.9756249785423279,500.3957748413086,204.18896198272705,0.0010000000474974513,299.0342903137207,245.6426239013672,0.905637800693512,564.8995590209961,433.06468963623047,0.0010000000474974513,185.64659118652344,477.6057529449463,0.0010000000474974513,638.7256622314453,549.715518951416,0.0010000000474974513,142.73309707641602,612.1446418762207,0.00026620979770086706,551.4762115478516,414.3903636932373,8.200495358323678e-05,142.73309707641602,612.1446418762207,9.999999747378752e-06,596.3614654541016,687.7847099304199,0.000205124233616516,185.64659118652344,477.6057529449463,9.999999747378752e-06,596.3614654541016,687.7847099304199,9.999999747378752e-06,185.64659118652344,477.6057529449463,9.999999747378752e-06,596.3614654541016,687.7847099304199,9.999999747378752e-06,185.64659118652344,477.6057529449463,9.999999747378752e-06
19,441.18465423583984,213.3902406692505,0.8354100584983826,467.1086120605469,180.55177688598633,0.8599832653999329,388.56517791748047,183.99656295776367,0.90053790807724,500.4766845703125,198.1177854537964,0.0010000000474974513,307.9625701904297,243.27080726623535,0.9640758633613586,577.9735565185547,417.91422843933105,0.0010000000474974513,198.2651138305664,468.31629753112793,0.0010000000474974513,606.6988372802734,529.4637680053711,0.0010000000474974513,140.29111862182617,608.9341735839844,0.0008148837951011956,533.1996536254883,414.70627784729004,0.0006926370551809669,140.29111862182617,608.9341735839844,9.999999747378752e-06,577.9735565185547,417.91422843933105,9.999999747378752e-06,215.1418685913086,809.8492240905762,0.0007043234072625637,577.9735565185547,417.91422843933105,9.999999747378752e-06,215.1418685913086,809.8492240905762,9.999999747378752e-06,577.9735565185547,417.91422843933105,9.999999747378752e-06,215.1418685913086,809.8492240905762,9.999999747378752e-06
20,438.5554504394531,201.29619598388672,0.9214082360267639,466.58599853515625,175.29137134552002,0.9464718699455261,391.43566131591797,176.00428104400635,0.9993212223052979,495.12706756591797,208.53768825531006,0.0010000000474974513,310.6373405456543,239.08345699310303,0.9127404689788818,550.963134765625,421.6941547393799,0.0010000000474974513,184.48606491088867,474.7082233428955,0.0010000000474974513,595.1464462280273,588.4341430664062,0.0010000000474974513,140.73535919189453,616.2513542175293,0.0005852119065821171,546.6244125366211,427.5731563568115,0.000892547017429024,140.73535919189453,616.2513542175293,9.999999747378752e-06,492.6884078979492,780.4290962219238,0.0010000000474974513,220.99925994873047,810.7793998718262,0.0007885781233198941,492.6884078979492,780.4290962219238,9.999999747378752e-06,220.99925994873047,810.7793998718262,9.999999747378752e-06,492.6884078979492,780.4290962219238,9.999999747378752e-06,220.99925994873047,810.7793998718262,9.999999747378752e-06
21,433.3940887451172,191.9767141342163,0.8966935873031616,459.5838928222656,167.48943328857422,0.8559096455574036,380.89149475097656,166.91598415374756,0.9219289422035217,487.6578140258789,207.47926712036133,0.0010000000474974513,308.48031997680664,237.63731002807617,0.9971542954444885,549.0883255004883,423.6734104156494,0.0010000000474974513,203.76779556274414,452.1847915649414,0.0010000000474974513,603.111457824707,604.1374969482422,0.0010000000474974513,145.46354293823242,624.4708442687988,0.0010000000474974513,603.111457824707,604.1374969482422,9.999999747378752e-06,145.46354293823242,624.4708442687988,9.999999747378752e-06,487.0642852783203,812.2592353820801,0.0010000000474974513,226.48162841796875,825.1960945129395,0.0010000000474974513,487.0642852783203,812.2592353820801,9.999999747378752e-06,226.48162841796875,825.1960945129395,9.999999747378752e-06,487.0642852783203,812.2592353820801,9.999999747378752e-06,226.48162841796875,825.1960945129395,9.999999747378752e-06
22,428.10203552246094,187.4997854232788,0.9056888818740845,453.67794036865234,165.85706233978271,0.8806626796722412,378.4112548828125,165.3110647201538,0.934171736240387,481.8802261352539,199.4969129562378,0.0010000000474974513,307.5937271118164,235.0263547897339,1.0,538.2220458984375,416.95987701416016,0.0010000000474974513,201.18375778198242,447.7280902862549,0.0010000000474974513,600.433464050293,599.1087913513184,0.0010000000474974513,145.4108428955078,629.3997001647949,0.0010000000474974513,600.433464050293,599.1087913513184,9.999999747378752e-06,145.4108428955078,629.3997001647949,9.999999747378752e-06,480.3871154785156,782.8539848327637,0.0010000000474974513,226.12091064453125,823.0122184753418,0.0010000000474974513,480.3871154785156,782.8539848327637,9.999999747378752e-06,226.12091064453125,823.0122184753418,9.999999747378752e-06,480.3871154785156,782.8539848327637,9.999999747378752e-06,226.12091064453125,823.0122184753418,9.999999747378752e-06
23,418.57967376708984,180.29704570770264,0.9173895716667175,446.6482925415039,159.50035572052002,0.8703630566596985,368.78639221191406,160.392107963562,0.936649739742279,479.0580749511719,201.55147075653076,0.0010000000474974513,302.1919250488281,231.35026931762695,1.0,552.209358215332,438.9268398284912,0.25532010197639465,200.03543853759766,438.68931770324707,0.5469975471496582,607.9182052612305,583.3979988098145,0.0010000000474974513,122.46183395385742,606.2628364562988,0.0010000000474974513,541.6967391967773,424.05338287353516,0.0010000000474974513,122.46183395385742,606.2628364562988,9.999999747378752e-06,489.02008056640625,775.8971214294434,0.0010000000474974513,220.92178344726562,844.1288566589355,0.0010000000474974513,489.02008056640625,775.8971214294434,9.999999747378752e-06,220.92178344726562,844.1288566589355,9.999999747378752e-06,489.02008056640625,775.8971214294434,9.999999747378752e-06,220.92178344726562,844.1288566589355,9.999999747378752e-06
